rotation_x,rotation_y,rotation_z,acceleration_x,acceleration_y,acceleration_z
0.0423188,0.00329802,0.0148376,0.000379026,0.0071986,0.00289305
0.0474741,0.00565545,0.018587,0.00374311,0.00667349,0.00203705
0.0535725,0.00673107,0.0160972,0.00410694,0.00662816,0.0015679
0.0533882,0.00392783,0.0137963,0.00335819,0.00456679,0.00195253
0.0468332,0.00228536,0.0165028,0.00416243,0.00383729,-0.000827432
0.0319134,0.00930598,0.0229037,0.000987351,0.00246787,-0.0028566
0.0186506,0.0133987,0.022953,0.000681221,0.000335753,-0.00243895
0.0110446,0.00933634,0.0220619,0.00251567,-0.00780398,-0.00469981
0.00500825,0.0124563,0.0195226,0.00495249,-0.00627944,-0.00300346
-0.000741784,0.0139767,0.0141742,0.00366426,-0.00196362,-0.00145017
-0.00934549,0.010194,0.0133243,0.00379932,-0.00105208,-0.00141834
-0.0175819,0.0126351,0.0123475,0.00293112,-0.0024173,-0.00236021
-0.0172582,0.0110379,0.0126918,0.00295609,-0.00230551,-0.000319704
-0.0148251,0.00726926,0.00336999,0.00361413,-0.00471026,3.62396e-05
-0.0100202,0.00417377,0.00224081,0.00660956,-0.00307852,0.00122291
-0.00471568,0.00474316,0.00215266,0.00642192,0.000804186,0.0022136
0.0104955,0.00164806,0.00336226,0.00444794,0.00261718,0.00375491
0.0178314,-7.97957e-05,0.000538513,0.00424594,0.00456047,0.00462151
0.0294991,0.000399706,-0.00167884,0.00465643,0.00593549,0.0036788
0.0319279,-0.000479669,-0.000153377,0.00362444,0.00659126,0.00137269
0.0378292,-0.000164318,-0.000610641,0.00346792,0.00345826,0.00127363
0.0395656,-0.00309513,-0.00402881,0.00245136,0.00139928,0.00169468
0.0402635,-0.000519251,-0.000303579,0.00312001,0.00244886,-0.000269309
0.0388387,-0.00278853,0.000785388,0.00236267,0.00450945,0.000149116
0.0351898,-0.00249522,0.00443046,0.00394434,0.00135359,0.000185966
0.025701,-0.00398233,0.0034584,0.00259858,-0.00344166,-0.00210987
0.0147298,-0.00141827,0.00238302,0.00219923,-0.00618944,-0.00203651
0.000412164,0.00272535,-0.00390337,0.00380749,-0.00292599,-0.00405061
