rotation_x,rotation_y,rotation_z,acceleration_x,acceleration_y,acceleration_z
-0.192867,-0.0761377,-0.0444875,-0.0831972,0.017818,0.0078851
-2.40965,-0.38305,-3.24912,-0.0943817,0.952961,0.107236
-2.79263,-0.25742,-4.34891,-0.03679,1.27489,-0.0204
-2.38889,0.150959,-5.83274,0.0867284,1.61948,-0.22053
-1.40244,0.570501,-7.26422,0.313682,1.94248,-0.328443
0.0591132,0.868384,-8.38015,0.680144,2.36317,-0.122311
1.57305,1.24339,-9.31688,1.14247,2.90228,0.288916
2.46253,1.6289,-9.93177,1.5983,3.22769,0.575092
2.03205,1.51616,-9.97983,1.96148,2.8853,0.650544
1.20975,1.08831,-9.93559,2.22724,2.02169,0.636679
1.12538,0.867037,-9.47797,2.22663,1.15765,0.569831
1.30877,0.733986,-8.79911,1.8049,0.493508,0.317894
1.20406,0.51764,-8.29824,1.29237,-0.289215,0.0959181
0.978085,0.291526,-7.76051,1.01275,-1.12347,-0.0209911
0.430078,0.113069,-7.06429,0.939197,-1.77104,-0.0823377
-0.208228,0.0491924,-6.29314,0.977374,-2.14123,-0.169826
-0.55973,0.0555291,-5.39066,1.04084,-2.27413,-0.221967
-0.490663,0.166315,-4.58603,1.05804,-2.22788,-0.278736
0.0095274,0.218983,-3.72772,0.990264,-2.0237,-0.317384
0.482493,0.24757,-2.83093,0.958458,-1.76338,-0.288246
0.597842,0.295592,-2.24141,0.942623,-1.52847,-0.202806
0.303091,0.374482,-1.8154,0.864762,-1.35928,-0.10543
-0.00969243,0.414247,-1.40689,0.750239,-1.1254,-0.00100124
-0.138059,0.424195,-1.04765,0.641906,-0.823417,0.0544112
0.0333935,0.383537,-0.751016,0.552756,-0.545995,0.036947
0.28829,0.321576,-0.571543,0.459619,-0.353086,0.0540656
0.46651,0.270387,-0.430951,0.362019,-0.230888,0.0904922
0.464768,0.258117,-0.299863,0.252416,-0.18989,0.101628
0.266526,0.276611,-0.277486,0.132663,-0.20833,0.101777
0.0477059,0.284942,-0.244075,0.0216493,-0.22459,0.126029
-0.0429228,0.278451,-0.109507,-0.0568753,-0.201612,0.123763
-0.0228116,0.265663,-0.104026,-0.0859266,-0.142425,0.0930506
0.0284599,0.245971,-0.105842,-0.0987017,-0.0914528,0.0659159
-0.015877,0.231687,-0.0823076,-0.0642707,-0.0354227,0.0654596
-0.126499,0.21478,-0.0800879,-0.00978336,-0.00195146,0.073664
-0.171179,0.187595,-0.096343,0.0236699,-0.00748545,0.0770299
-0.155439,0.185912,-0.0994493,0.0153759,-0.018648,0.0694336
-0.112761,0.184097,-0.119282,-0.0164073,-0.00460571,0.0437489
0.0124272,0.172011,-0.133722,-0.0420841,0.0339532,0.0251954
0.202258,0.153116,-0.13875,-0.0404341,0.0487553,0.00167394
0.365129,0.127406,-0.111632,-0.0279437,0.0573661,-0.0251638
0.37743,0.110985,-0.0922694,-0.00765608,0.0599865,-0.0282532
0.0931905,0.114972,-0.106794,0.00699511,0.0151839,0.00246447
-0.299903,0.119361,-0.11617,0.0043526,-0.0471036,0.041621
