rotation_x,rotation_y,rotation_z,acceleration_x,acceleration_y,acceleration_z
-0.00272493,0.131391,-0.166578,-0.0776306,-0.0157289,0.0479808
0.00840789,0.115188,-0.182024,-0.0448017,0.0263005,0.0235597
-0.0801499,0.0244078,-0.167943,0.0448397,0.0179083,0.00273377
-0.166681,-0.0770914,-0.126088,0.12174,0.0176724,-0.0203911
-0.196417,-0.145887,-0.0817108,0.119221,0.0399844,-0.0416843
-0.179243,-0.147007,-0.0684133,0.0650453,0.0589826,-0.041602
-0.193012,-0.0593318,-0.0303815,-0.00972898,0.0401835,-0.0363444
-0.126322,-0.0473034,0.00345313,-0.0142209,0.0638214,-0.0148411
-0.0823343,-0.00245352,0.00474316,0.0076139,0.0556985,0.00997943
-0.0781348,0.0416538,0.0189173,-0.03073,0.0322197,0.0342546
-0.0622309,0.0627111,0.02176,-0.0222144,0.00957942,0.0508909
-0.0441171,0.0474477,0.0457937,0.000607133,-0.00486234,0.0526299
-0.0515233,0.0161481,0.0632549,0.0163584,-0.0180924,0.0536172
-0.0723516,-0.00947155,0.0626608,0.0127248,-0.0335286,0.0373013
-0.0805398,-0.0292029,0.069879,0.00747177,-0.0350771,0.0204713
-0.0653166,-0.0350821,0.0717209,-0.0029934,-0.0237184,0.00455451
-0.0271815,-0.0349742,0.0718101,-0.0113129,-0.0109851,-0.00900507
0.011926,-0.0509015,0.0714942,-0.00363892,0.00370994,-0.0216058
0.0371085,-0.0808043,0.0680281,0.0126174,0.011164,-0.0279809
0.0338906,-0.0852901,0.0669493,0.0120136,0.00816801,-0.0290625
0.0253146,-0.0798819,0.0666763,0.00112489,0.00353867,-0.028861
0.0170489,-0.0687661,0.0599553,-0.0056096,0.00256422,-0.0271944
-0.01474,-0.054748,0.05225,-0.00496943,0.00182092,-0.0206113
-0.0427546,-0.0453454,0.0508718,-0.00168985,-0.00818628,-0.0167732
-0.045466,-0.0361356,0.049603,0.00255255,-0.00485155,-0.0171493
-0.0298588,-0.0307318,0.0443667,0.00565568,0.00701556,-0.0200453
-0.00221486,-0.0190254,0.0336291,0.00743096,0.0134973,-0.0158157
0.0104184,-0.00631014,0.0208047,0.0010858,0.00537083,-0.00956082
0.0137834,-0.00466151,0.0161042,0.00573182,-0.000586599,-0.00310171
0.0166618,-0.011468,0.0219933,0.0147339,-0.00827473,0.00731993
0.0101195,0.00431753,0.0238971,0.00663441,-0.0145609,0.0173854
0.00519452,0.00827339,0.0126533,-0.00471218,-0.0056195,0.019344
0.000451759,0.0106883,0.00408936,0.00330725,0.000849068,0.0229434
-0.0151682,0.00640006,0.00230424,0.00714071,-0.00151044,0.0201877
-0.0338717,0.000246891,0.00125788,0.00861308,-0.00238121,0.0144872
-0.0395407,-0.00749066,0.00117373,0.0089072,0.00358632,0.0136016
-0.0355684,-0.0157971,0.000114588,0.00935973,0.0092167,0.011022
-0.0308695,-0.0209868,-0.00214031,-0.000482604,0.0143149,0.00178868
-0.0434031,-0.00918123,-0.00243086,-0.0137523,0.0184919,-0.00522071
-0.0402305,0.00384109,-0.00796917,-0.024735,0.0197172,-0.0132386
-0.044823,0.0194128,-0.0194759,-0.0249071,0.0130354,-0.0171875
-0.0664101,0.0251157,-0.0252222,-0.0190377,0.0067583,-0.018538
-0.0950763,0.0257418,-0.0250177,-0.0150855,-0.00516257,-0.012394
-0.113687,0.0220096,-0.0279546,-0.0117158,-0.00903413,0.00202119
-0.132799,0.0202189,-0.0357105,-0.0159797,-0.00550207,0.0112502
-0.131129,0.0209396,-0.0317512,-0.0163486,-0.00292021,0.0164431
-0.127896,0.0139187,-0.0331968,-0.0110314,0.003622,0.0147765
-0.121705,0.008542,-0.0444694,-0.00197838,0.0119104,0.0119433
-0.144804,0.00756639,-0.0559852,0.000399813,0.00239092,0.00713599
-0.194498,0.00984153,-0.0607669,-0.00371842,-0.0118065,0.00109899
-0.226917,0.00203001,-0.0694118,0.00278541,-0.0130785,-0.00759554
-0.255526,-0.019961,-0.0608135,0.020181,-0.00518659,-0.00847316
-0.282868,-0.0304604,-0.0607605,0.0234404,0.000730008,-0.00140101
-0.291006,-0.0346687,-0.0650194,0.00794289,0.000356227,0.00631332
-0.292875,-0.0247095,-0.0721032,-0.0078074,0.00403392,0.0142112
-0.308034,-0.0219073,-0.0767336,-0.00765994,0.00626773,0.0203731
-0.322008,-0.0399226,-0.0822008,0.0100457,0.00159959,0.0152255
-0.349875,-0.0723426,-0.0902696,0.0288066,-0.00436543,0.00850314
-0.381127,-0.103034,-0.0816932,0.0363368,-0.0158323,0.00915807
-0.419815,-0.125997,-0.0705993,0.0286658,-0.0232343,0.017949
-0.451058,-0.115428,-0.0682743,0.000606373,-0.0229095,0.0197227
-0.447401,-0.101516,-0.0770122,-0.00891052,-0.00712854,0.0189419
-0.445634,-0.113565,-0.0969595,0.000435233,0.00548413,0.0111634
-0.460757,-0.0742056,-0.128883,-0.00873145,-0.00520265,0.0113341
-0.55977,0.0268271,-0.177437,-0.0862441,-0.041616,-0.00319928
-0.574537,0.0308669,-0.160997,-0.035966,-0.0190396,-0.00179368
-0.611802,0.0242401,-0.132534,0.0109713,-0.0203792,-0.0109416
-0.59995,0.000486576,-0.113893,0.020293,-0.0282495,-0.00538886
-0.542166,0.00294308,-0.0916201,0.0174243,-0.0182169,0.00375319
-0.500905,0.0363647,-0.0896696,-0.0150055,0.00447236,-0.00450081
-0.470135,0.0537394,-0.0915629,-0.0234442,0.00488941,-0.0106562
-0.441215,0.0393229,-0.0968716,0.00719547,0.00158222,-0.0099436
-0.428462,0.00794662,-0.0711812,0.0307884,-0.00671579,-0.00708652
-0.432253,-0.00339232,-0.057452,0.0294229,-0.0109215,-0.00785547
-0.456787,0.00354562,-0.0595945,0.0145559,-0.0209179,-0.00900942
-0.494842,0.00864717,-0.0582326,0.00350359,-0.0338219,-0.00973994
-0.521079,-0.000465405,-0.0494626,0.00814177,-0.0407424,-0.00276554
-0.4845,-0.0271537,-0.0545263,0.010033,-0.0403266,0.0110825
-0.42047,-0.0350113,-0.0540613,0.00784391,-0.01641,0.0259601
-0.355232,-0.0403797,-0.0727356,-0.0095638,0.000448033,0.0284929
-0.32121,-0.0550213,-0.113375,-0.0131204,-0.00213169,0.0303778
-0.268111,-0.0680444,-0.142409,-0.00188671,-0.00646345,0.0256803
-0.166819,-0.0910929,-0.140797,0.00878878,-0.00169232,0.0184288
-0.0812247,-0.0983578,-0.107458,-0.000131115,0.014931,0.0157711
-0.0429787,-0.0877266,-0.141203,-0.0150013,0.00241341,0.0132306
-0.0521583,-0.101996,-0.154849,-0.00832349,-0.0176617,0.00548249
-0.0763488,-0.111579,-0.144592,-0.00371228,-0.0299564,-0.000252068
-0.116034,-0.105677,-0.160941,-0.0130154,-0.0370588,-0.00625122
-0.148342,-0.0992336,-0.162483,-0.0168653,-0.0390902,-0.00474352
-0.176196,-0.0993439,-0.16258,-0.00971867,-0.0372685,-0.00711548
